http://www.nist.gov/pml/data/comp.cfm

Isotope: Atomic number, Symbol, and Mass number

NB: I had to add a '0.0()' in the third column of the first line for elements
beyond He, as well as a () after the fractions that were 1.0000, in order
to conform to my reading statement. BPz 12/06-2012 

Isotope      Atomic Mass        Composition   Atomic Weight    Notes     
_________________________________________________________________________
        76   75.9214026(18)     0.0783(7)   
        77   76.9235486(18)                 
        78   77.922853(4)                   
        79   78.92540(10)                   
        80   79.925370(30)                  
        81   80.92882(13)                   
        82   81.92955(26)                   
        83   82.93462(21)#                  
        84   83.93747(32)#                  
        85   84.94303(43)#                  
        86   85.94649(54)#                  
        87   86.95251(54)#                  
        88   87.95691(75)#                  
        89   88.96383(97)#                  
_________________________________________________________________________
33  As  60   59.99313(64)#      0.0()         74.92160(2)       
        61   60.98062(64)#                  
        62   61.97320(32)#                  
        63   62.96369(54)#                  
        64   63.95757(38)#                  
        65   64.94956(32)#                  
        66   65.94471(73)                   
        67   66.93919(11)                   
        68   67.936770(50)                  
        69   68.932270(30)                  
        70   69.930920(50)                  
        71   70.927112(5)                   
        72   71.926752(5)                   
        73   72.923825(4)                   
        74   73.9239287(25)                 
        75   74.9215965(20)     1.0000()    
        76   75.9223940(20)                 
        77   76.9206473(25)                 
        78   77.921827(11)                  
        79   78.920948(6)                   
        80   79.922534(25)                  
        81   80.922132(6)                   
        82   81.92450(21)                   
        83   82.92498(24)                   
        84   83.92906(32)#                  
        85   84.93202(21)#                  
        86   85.93650(32)#                  
        87   86.93990(32)#                  
        88   87.94494(54)#                  
        89   88.94939(54)#                  
        90   89.95550(86)#                  
        91   90.96043(97)#                  
        92   91.96680(97)#                  
_________________________________________________________________________
34  Se  65   64.96466(64)#      0.0()         78.96(3)          
        66   65.95521(32)#                  
        67   66.95009(21)#                  
        68   67.941800(40)                  
        69   68.939560(40)                  
        70   69.933390(70)                  
        71   70.932240(30)                  
        72   71.927112(13)                  
        73   72.926765(11)                  
        74   73.9224764(18)     0.0089(4)   
        75   74.9225234(18)                 
        76   75.9192136(18)     0.0937(29)  
        77   76.9199140(18)     0.0763(16)  
        78   77.9173091(18)     0.2377(28)  
        79   78.9184991(18)                 
        80   79.9165213(21)     0.4961(41)  
        81   80.9179925(22)                 
        82   81.9166994(22)     0.0873(22)  
        83   82.919118(4)                   
        84   83.918462(16)                  
        85   84.922250(30)                  
        86   85.924272(17)                  
        87   86.928520(40)                  
        88   87.931420(50)                  
        89   88.93645(32)#                  
        90   89.93996(43)#                  
        91   90.94596(54)#                  
        92   91.94992(64)#                  
        93   92.95629(86)#                  
        94   93.96049(86)#                  
_________________________________________________________________________
35  Br  67   66.96479(54)#      0.0()         79.904(1)         
        68   67.95852(38)#                  
        69   68.95011(11)#                  
        70   69.94479(33)#                  
        71   70.93874(61)                   
        72   71.936640(60)                  
        73   72.931690(50)                  
        74   73.929891(16)                  
        75   74.925776(15)                  
        76   75.924541(10)                  
        77   76.921379(3)                   
        78   77.921146(4)                   
        79   78.9183371(22)     0.5069(7)   
        80   79.9185293(22)                 
        81   80.9162906(21)     0.4931(7)   
        82   81.9168041(21)                 
        83   82.915180(5)                   
        84   83.916479(16)                  
        85   84.915608(21)                  
        86   85.918798(12)                  
        87   86.920711(19)                  
        88   87.924070(40)                  
        89   88.926390(60)                  
        90   89.930630(80)                  
        91   90.933970(80)                  
        92   91.939260(50)                  
        93   92.94305(32)#                  
        94   93.94868(43)#                  
        95   94.95287(54)#                  
        96   95.95853(75)#                  
        97   96.96280(86)#                  
_________________________________________________________________________
36  Kr  69   68.96518(43)#      0.0()         83.798(2)        g,m,a
        70   69.95526(41)#                  
        71   70.94963(70)                   
        72   71.942092(9)                   
        73   72.939289(7)                   
        74   73.9330844(22)                 
        75   74.930946(9)                   
        76   75.925910(4)                   
        77   76.9246700(21)                 
        78   77.9203648(12)     0.00355(3)  
        79   78.920082(4)                   
        80   79.9163790(16)     0.02286(10) 
        81   80.9165920(21)                 
        82   81.9134836(19)     0.11593(31) 
        83   82.914136(3)       0.11500(19) 
        84   83.911507(3)       0.56987(15) 
        85   84.9125273(21)                 
        86   85.91061073(11)    0.17279(41) 
        87   86.91335486(29)                
        88   87.914447(14)                  
        89   88.917630(60)                  
        90   89.919517(20)                  
        91   90.923450(60)                  
        92   91.926156(13)                  
        93   92.93127(11)                   
        94   93.93436(32)#                  
        95   94.93984(43)#                  
        96   95.94307(54)#                  
        97   96.94856(54)#                  
        98   97.95191(64)#                  
        99   98.95760(64)#                  
        100  99.96114(54)#                  
_________________________________________________________________________
37  Rb  71   70.96532(54)#      0.0()         85.4678(3)       g
        72   71.95908(54)#                  
