    390  '           131717.00'  'AlClCl' -8.767   7    6.50260176D+02 -5.03850575D+02  1.65007486D+02 -2.89398280D+01  2.87840793D+00 -1.53457504D-01 3.41918496D-03 2 13 1 17 2
    391  '            60614.00'  'SiC C' -13.046   8    4.02972698D+04 -3.76998005D+04  1.50971365D+04 -3.35380895D+03  4.46305391D+02 -3.55712440D+01 1.57200757D+00 -2.97123041D-02 2 6 2 14 1
    392  '            80814.00'  'SiO O' -12.887   6   -3.69741097D+01  3.88142464D+01 -1.30630198D+01  2.02127808D+00 -1.42707827D-01  3.84167646D-03 2 8 2 14 1
    393  '            61414.00'  'SiSiC' -11.099   9    2.68674473D+05 -2.75800624D+05  1.23581777D+05 -3.15663652D+04  5.02649921D+03 -5.10877761D+02 3.23608345D+01 -1.16787646D+00  1.83825878D-02 2 6 1 14 2
    394  '            71414.00'  'SiSiN' -10.009   6   -2.86801486D+01  3.33416386D+01 -1.17118184D+01  1.91032769D+00 -1.41710590D-01  4.00460708D-03 2 7 1 14 2
    395  '           141414.00'  'SiSiSi' -7.300   7   -3.30113781D+03  2.65400583D+03 -8.84944995D+02  1.56804734D+02 -1.55578332D+01  8.19859402D-01 -1.79286665D-02 1 14 3
    396  '            10115.00'  'P H H' -6.415   6   -4.17991430D+02  2.71405431D+02 -6.91229028D+01  8.70127751D+00 -5.38568974D-01  1.31964201D-02 2 1 2 15 1
    397  '            80815.00'  'P O O' -11.611   6   -2.67672100D+00  1.72338611D+01 -7.24557540D+00  1.25650771D+00 -9.38016396D-02  2.61151467D-03 2 8 2 15 1
    398  '            80816.00'  'S O O' -11.013   6   -9.31158557D+01  7.52643257D+01 -2.20805356D+01  3.14006375D+00 -2.13351894D-01  5.66486304D-03 2 8 2 16 1
    399  '            60717.00'  'ClC N' -12.068   6   -1.62376905D+02  1.15670333D+02 -3.17730364D+01  4.30801182D+00 -2.83860475D-01  7.38844137D-03 3 6 1 7 1 17 1
    400  '            60719.00'  'K C N' -12.358   6   -1.18945843D+02  8.18947482D+01 -2.17673964D+01  2.89380934D+00 -1.85864579D-01  4.67802995D-03 3 6 1 7 1 19 1
